,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.0014 ,0.0031 ,0.0136 ,0.0000 ,0.0059 ,0.0275 ,0.0000 ,0.0000 ,0.0155 ,0.0216 ,0.0945 ,0.0000 ,0.0331 ,0.0000 ,0.0735 ,0.0000 
2,0.0028 ,0.0000 ,0.0442 ,0.0000 ,0.0000 ,0.0055 ,0.0068 ,0.0000 ,0.0287 ,0.0216 ,0.0873 ,0.1087 ,0.0221 ,0.0000 ,0.0000 ,0.0000 
3,0.0021 ,0.0000 ,0.0306 ,0.0091 ,0.0119 ,0.0110 ,0.0000 ,0.0000 ,0.0243 ,0.0396 ,0.0582 ,0.0000 ,0.0773 ,0.0346 ,0.0000 ,0.0000 
4,0.0048 ,0.0031 ,0.0204 ,0.0000 ,0.0119 ,0.0000 ,0.0068 ,0.0000 ,0.0486 ,0.0072 ,0.1164 ,0.0000 ,0.0497 ,0.0000 ,0.0368 ,0.0000 
5,0.0062 ,0.0031 ,0.0204 ,0.0091 ,0.0059 ,0.0220 ,0.0408 ,0.0000 ,0.0309 ,0.0360 ,0.0436 ,0.0000 ,0.0442 ,0.0576 ,0.0000 ,0.0000 
6,0.0055 ,0.0094 ,0.0272 ,0.0091 ,0.0119 ,0.0055 ,0.0136 ,0.0000 ,0.0243 ,0.0252 ,0.0873 ,0.0000 ,0.0221 ,0.0115 ,0.0000 ,0.0000 
7,0.0221 ,0.0094 ,0.0034 ,0.0091 ,0.0119 ,0.0000 ,0.0000 ,0.0000 ,0.0243 ,0.0108 ,0.0218 ,0.4348 ,0.0055 ,0.0000 ,0.0000 ,0.0000 
8,0.0180 ,0.0250 ,0.0408 ,0.0362 ,0.0475 ,0.0165 ,0.0204 ,0.0054 ,0.0442 ,0.0108 ,0.1309 ,0.5435 ,0.0331 ,0.0115 ,0.0735 ,0.0000 
9,0.0090 ,0.0594 ,0.0374 ,0.0091 ,0.0297 ,0.0000 ,0.0136 ,0.0000 ,0.0442 ,0.0036 ,0.1527 ,0.3261 ,0.0497 ,0.0000 ,0.0368 ,0.0000 
10,0.0221 ,0.0281 ,0.0476 ,0.0272 ,0.0534 ,0.0275 ,0.0340 ,0.0054 ,0.0398 ,0.0252 ,0.1018 ,0.7609 ,0.0386 ,0.0346 ,0.1838 ,0.0000 
11,0.0159 ,0.0094 ,0.0034 ,0.0091 ,0.0000 ,0.0110 ,0.0476 ,0.0000 ,0.0155 ,0.0180 ,0.1091 ,0.0000 ,0.0221 ,0.0115 ,0.0735 ,0.0000 
12,0.0035 ,0.0031 ,0.0306 ,0.0000 ,0.0000 ,0.0165 ,0.0340 ,0.0108 ,0.1436 ,0.0072 ,0.0218 ,0.0000 ,0.0497 ,0.0000 ,0.0368 ,0.0000 
13,0.0249 ,0.0188 ,0.0578 ,0.0181 ,0.0475 ,0.0771 ,0.0816 ,0.0161 ,0.0817 ,0.0648 ,0.0800 ,0.8696 ,0.0442 ,0.0115 ,0.0368 ,0.0000 
14,0.0352 ,0.0781 ,0.0680 ,0.0000 ,0.0297 ,0.0937 ,0.0476 ,0.0646 ,0.0022 ,0.0504 ,0.3418 ,0.3261 ,0.0662 ,0.0000 ,0.1471 ,0.8880 
15,0.1313 ,0.1188 ,0.1327 ,0.0996 ,0.1841 ,0.0937 ,0.0748 ,0.0323 ,0.5213 ,0.0396 ,0.2764 ,1.1957 ,0.0386 ,0.0461 ,0.4412 ,0.4633 
16,0.0884 ,0.1375 ,0.3776 ,0.2083 ,0.2257 ,0.1322 ,0.1565 ,0.0484 ,0.2496 ,0.2196 ,0.7345 ,1.6304 ,0.1711 ,0.0461 ,0.6985 ,1.3514 
17,0.1382 ,0.1781 ,0.2653 ,0.1449 ,0.1485 ,0.0937 ,0.0748 ,0.0108 ,0.6296 ,0.0396 ,0.7782 ,0.4348 ,0.1711 ,0.2189 ,0.2574 ,0.7336 
18,0.1278 ,0.0531 ,0.3367 ,0.0815 ,0.2732 ,0.1653 ,0.1565 ,0.0377 ,0.5235 ,0.1872 ,0.4800 ,0.5435 ,0.1766 ,0.1152 ,0.4412 ,2.0077 
19,0.1265 ,0.2688 ,0.4864 ,0.4348 ,0.3504 ,0.1873 ,0.0952 ,0.0915 ,1.0316 ,0.2988 ,0.9236 ,1.0870 ,0.4581 ,0.1498 ,0.6618 ,3.1660 
