,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,3 ,6 ,3,12,45,118,9.23,0,0.01,0.05,0,0.02,0.09,0,0,0.05,0.07,0.33,0,0.11,0,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3 ,7 ,4,16,51,169,8.65,0.01,0,0.13,0,0,0.02,0.02,0,0.09,0.07,0.27,0.33,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3 ,8 ,3,19,62,231,7.6,0.01,0,0.1,0.03,0.04,0.04,0,0,0.08,0.13,0.19,0,0.26,0.12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,3 ,9 ,4,23,76,307,6.97,0.02,0.01,0.07,0,0.04,0,0.02,0,0.16,0.02,0.38,0,0.16,0,0.12,0,0.03,0,0,0.14,0.19,0.11,0.2,0.18,0.15,0,0,0,0,0,0,0
5,3 ,10 ,11,34,64,371,8.4,0.02,0.01,0.06,0.03,0.02,0.07,0.13,0,0.1,0.11,0.14,0,0.14,0.18,0,0,0.11,0,0.25,0,0.64,0,0,0,0,0,0,0,0,0,0,0
6,3 ,11 ,5,39,78,449,7.99,0.02,0.04,0.11,0.04,0.05,0.02,0.05,0,0.1,0.1,0.35,0,0.09,0.05,0,0,0,0.02,0.03,0,0.02,0,0,0,0.06,0.05,0,0.74,0.05,0,0.03,0
7,3 ,12 ,1,40,64,513,7.23,0.04,0.02,0.01,0.02,0.02,0,0,0,0.04,0.02,0.04,0.79,0.01,0,0,0,0.18,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
8,3 ,13 ,41,81,128,639,11.25,0.02,0.02,0.04,0.03,0.04,0.02,0.02,0.01,0.04,0.01,0.12,0.51,0.03,0.01,0.07,0,0.04,0.05,0.05,0,0.04,0.07,0.03,0.08,0.09,0,0.03,0.21,0.12,0.18,0,0
9,3 ,14 ,9,90,130,769,10.48,0.01,0.08,0.05,0.01,0.04,0,0.02,0,0.06,0,0.2,0.42,0.06,0,0.05,0,0.05,0.08,0.01,0,0.03,0,0.04,0.06,0.1,0.04,0.09,0.31,0.09,0,0.11,0
10,3 ,15 ,5,95,197,966,8.95,0.02,0.02,0.03,0.02,0.04,0.02,0.02,0,0.03,0.02,0.07,0.53,0.03,0.02,0.13,0,0.02,0.03,0.06,0.02,0.01,0.07,0.01,0.03,0.07,0.07,0.16,0.15,0.17,0.13,0,0
11,3 ,16 ,8,103,150,1116,8.45,0.05,0.03,0.01,0.03,0,0.03,0.14,0,0.04,0.05,0.32,0,0.06,0.03,0.21,0,0.05,0.05,0.03,0.04,0.04,0.02,0.03,0.05,0.07,0.08,0.54,0,0,0,0,0
12,3 ,17 ,57,160,203,1319,10.82,0.01,0.01,0.09,0,0,0.05,0.1,0.03,0.4,0.02,0.06,0,0.14,0,0.1,0,0.03,0.08,0.07,0.01,0.03,0.03,0.01,0,0.06,0.1,0.34,0.07,0.02,0.02,0.01,0.11
13,3 ,18 ,8,168,366,1685,9.07,0.02,0.01,0.04,0.01,0.03,0.05,0.05,0.01,0.05,0.04,0.05,0.57,0.03,0.01,0.02,0,0.02,0.02,0.03,0.03,0.01,0.04,0.02,0.03,0.04,0.04,0.18,0.32,0.05,0.15,0.04,0
14,3 ,19 ,17,185,492,2171,7.85,0.02,0.03,0.03,0,0.01,0.04,0.02,0.03,0,0.02,0.15,0.15,0.03,0,0.07,0.4,0.07,0.04,0.09,0.1,0.05,0.05,0,0.02,0.14,0.02,0.27,0,0.06,0.08,0.02,0
15,3 ,20 ,24,209,734,2905,6.71,0.03,0.03,0.03,0.03,0.05,0.02,0.02,0.01,0.13,0.01,0.07,0.31,0.01,0.01,0.11,0.12,0.1,0.05,0.06,0.06,0.02,0.02,0.01,0.08,0.32,0.05,0.06,0,0.12,0,0.04,0
16,3 ,21 ,31,240,865,3770,5.99,0.01,0.02,0.06,0.03,0.03,0.02,0.02,0.01,0.04,0.03,0.11,0.25,0.03,0.01,0.11,0.21,0.06,0.03,0.06,0.04,0.05,0.07,0,0.02,0.04,0.06,0.03,0.09,0.19,0.02,0.04,0.21
17,3 ,22 ,4,244,977,4747,4.89,0.03,0.04,0.06,0.03,0.03,0.02,0.02,0,0.15,0.01,0.18,0.1,0.04,0.05,0.06,0.17,0.11,0.02,0.06,0.08,0.05,0.09,0.03,0.04,0.2,0.12,0.11,0,0,0.05,0.03,0
18,3 ,23 ,4,248,979,5726,4.15,0.02,0.01,0.06,0.01,0.05,0.03,0.03,0.01,0.09,0.03,0.08,0.1,0.03,0.02,0.08,0.35,0.07,0.02,0.03,0.04,0.02,0.06,0.03,0.09,0.13,0.26,0.06,0,0.07,0,0,0.13
19,3 ,24 ,29,277,1580,7306,3.65,0.01,0.03,0.05,0.04,0.04,0.02,0.01,0.01,0.11,0.03,0.09,0.11,0.05,0.02,0.07,0.32,0.01,0.07,0.06,0.11,0.07,0.03,0.07,0.05,0.08,0.03,0.03,0.14,0.17,0,0.07,0
20,3 ,25 ,38,315,2231,9532,3.2,0.27,0.01,0,0,0,0.01,0,0.02,0.12,0,0.04,0.03,0.02,0.04,0,0.43,0.76,0.07,0,0.03,0,0.02,0.03,0,0.05,0.01,0,0,0.03,0,0,0
21,3 ,26 ,45,360,2631,12163,2.87,0.02,0.04,0.08,0.01,0.05,0.02,0.02,0.01,0.16,0.04,0.14,0.04,0.03,0.02,0.24,0.08,0.04,0.04,0.07,0.06,0.04,0.09,0.04,0.08,0.17,0.13,0.06,0,0.11,0.03,0.02,0.02
