,1
1,1
2,1
3,1
4,0
5,0
6,1
7,1
8,1
9,1
10,0
11,1
12,0
13,0
14,0
15,1
16,1
17,0
18,1
19,0
20,0
21,1
22,1
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,1
31,0
32,1
33,0
34,0
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,1
46,1
47,0
48,1
49,0
50,1
51,1
52,0
53,0
54,1
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,1
99,0
100,0
101,0
102,1
103,1
104,0
105,1
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,1
114,1
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,0
124,0
125,0
126,1
127,1
128,0
129,0
130,0
131,0
132,1
133,1
134,1
135,0
136,0
137,1
138,1
139,1
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,0
148,1
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,1
168,0
169,0
170,1
171,0
172,0
173,1
174,1
175,0
176,1
177,1
178,1
179,1
180,1
181,1
182,0
183,1
184,1
185,1
186,0
187,1
188,1
189,0
190,0
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,1
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,0
213,0
214,1
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,0
241,0
242,1
243,1
244,1
245,1
246,0
247,0
248,1
249,1
250,1
251,1
252,0
253,0
254,0
255,1
256,1
257,1
258,0
259,1
260,0
261,1
262,1
263,1
264,0
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,1
273,0
